Timestamp,City,Latitude,Longitude,PM10_ug_m3,PM2_5_ug_m3,Carbon_Monoxide_ug_m3,Nitrogen_Dioxide_ug_m3,Ozone_ug_m3,Dust_ug_m3,UV_Index,European_AQI,Hazardous_Event
2026-02-15T13:00,Mexico City,19.4326,-99.1332,25.3,25.0,271.0,4.5,184.0,0.0,9.25,70,0
2025-09-30T23:00,Tokyo,35.6895,139.6917,23.5,20.1,321.0,53.1,41.0,1.0,0.0,25,0
2026-01-10T09:00,Sao Paulo,-23.5505,-46.6333,7.5,7.5,306.0,9.0,154.0,0.0,6.4,64,0
2026-02-08T01:00,Tehran,35.6892,51.389,61.9,59.3,4049.0,85.9,7.0,5.0,0.0,107,1
2026-04-15T02:00,Delhi,28.6139,77.209,129.5,36.9,635.0,16.5,89.0,176.0,0.0,159,1
2025-12-07T09:00,Beijing,39.9042,116.4074,164.4,154.6,1388.0,35.9,11.0,14.0,0.45,177,1
2025-08-11T14:00,Mumbai,19.076,72.8777,53.2,26.5,170.0,4.6,101.0,41.0,7.05,49,0
2025-11-01T22:00,Mexico City,19.4326,-99.1332,35.2,34.8,546.0,68.6,37.0,1.0,0.0,64,0
2025-09-16T06:00,Moscow,55.7558,37.6173,47.1,38.7,289.0,38.7,14.0,0.0,0.0,63,0
2026-04-13T09:00,Bangkok,13.7563,100.5018,37.3,29.8,651.0,7.7,112.0,12.0,4.35,61,0
2026-01-03T14:00,Mumbai,19.076,72.8777,68.9,65.9,511.0,11.0,181.0,4.0,3.05,85,0
2025-10-29T08:00,Tokyo,35.6895,139.6917,23.9,23.2,287.0,37.7,17.0,0.0,0.5,46,0
2025-06-03T17:00,Seoul,37.5665,126.978,16.5,13.3,239.0,12.5,136.0,3.0,1.5,84,0
2026-03-24T07:00,Mexico City,19.4326,-99.1332,43.9,43.5,379.0,45.5,42.0,0.0,0.1,51,0
2025-10-04T08:00,Buenos Aires,-34.6037,-58.3816,9.6,9.5,231.0,13.1,52.0,0.0,0.85,21,0
2025-08-27T13:00,Buenos Aires,-34.6037,-58.3816,4.5,4.5,174.0,13.8,64.0,0.0,4.85,26,0
2025-12-16T08:00,Mexico City,19.4326,-99.1332,43.7,43.5,790.0,53.8,14.0,0.0,0.4,43,0
2025-07-23T20:00,Mexico City,19.4326,-99.1332,25.0,24.5,430.0,55.1,37.0,0.0,0.0,49,0
2025-08-10T18:00,Paris,48.8566,2.3522,8.5,5.6,191.0,7.0,109.0,0.0,1.9,46,0
2026-01-03T20:00,Tehran,35.6892,51.389,115.7,103.1,7711.0,88.5,0.0,24.0,0.0,92,0
2025-09-13T08:00,Karachi,24.8607,67.0011,24.3,13.4,421.0,14.1,33.0,16.0,1.0,29,0
2025-11-27T11:00,Bangkok,13.7563,100.5018,30.2,29.0,537.0,14.1,123.0,1.0,7.6,63,0
2025-09-26T03:00,Lagos,6.5244,3.3792,21.5,19.0,253.0,12.6,27.0,0.0,0.0,33,0
2025-05-23T05:00,Buenos Aires,-34.6037,-58.3816,6.0,4.9,87.0,9.0,38.0,0.0,0.0,18,0
2025-11-29T14:00,Dubai,25.2048,55.2708,40.6,34.9,331.0,37.2,114.0,10.0,3.15,76,0
2026-05-11T07:00,Istanbul,41.0082,28.9784,38.3,26.5,246.0,43.2,18.0,8.0,0.2,62,0
2025-10-18T06:00,Chicago,41.8781,-87.6298,6.3,6.2,208.0,11.9,79.0,0.0,0.0,32,0
2025-12-29T10:00,Cairo,30.0444,31.2357,36.6,14.3,314.0,30.8,38.0,20.0,1.2,35,0
2026-04-29T00:00,Mumbai,19.076,72.8777,40.2,22.8,307.0,15.6,63.0,24.0,0.0,63,0
2025-10-05T05:00,Jakarta,-6.2088,106.8456,138.8,137.4,2763.0,102.9,3.0,0.0,0.0,135,1
2026-01-26T18:00,Mexico City,19.4326,-99.1332,13.5,13.4,483.0,21.6,115.0,0.0,0.05,66,0
2025-12-13T10:00,New York,40.7128,-74.006,18.3,17.8,350.0,51.0,16.0,0.0,0.45,24,0
2026-03-26T08:00,Tokyo,35.6895,139.6917,31.4,28.8,475.0,57.1,41.0,2.0,0.35,68,0
2025-06-27T05:00,Dubai,25.2048,55.2708,164.4,80.3,726.0,57.5,62.0,137.0,0.0,101,1
2026-03-26T17:00,Lima,-12.0464,-77.0428,32.7,16.8,633.0,21.2,47.0,24.0,0.4,34,0
2026-01-08T05:00,Bogota,4.711,-74.0721,15.0,14.9,512.0,23.4,29.0,0.0,0.0,52,0
2025-09-16T21:00,Jakarta,-6.2088,106.8456,150.4,149.9,3100.0,123.8,50.0,0.0,0.0,125,1
2025-06-20T19:00,Lahore,31.5204,74.3587,158.3,64.0,429.0,14.2,153.0,166.0,0.0,135,1
2026-03-09T12:00,Riyadh,24.7136,46.6753,2309.7,224.4,224.0,15.9,100.0,4147.0,5.25,813,1
2025-10-02T06:00,Sao Paulo,-23.5505,-46.6333,27.6,26.3,225.0,22.6,55.0,0.0,0.05,63,0
